id,Name,description,Slug,color,FrenchName,FrenchDescription,area,ColonialEntity
ecf33b45e0b4520cde70b36d8b97abb5,Cession 691,https://native-land.ca/maps/treaties/cession-691/,cession-691,#211155,Cession 691,https://native-land.ca/maps/treaties/cession-691/,481,United States of America
ed6595fc41edb64f0ef05dc7a398fcc4,Cession 478,https://native-land.ca/maps/treaties/cession-478/,cession-478,#1B2200,Cession 478,https://native-land.ca/maps/treaties/cession-478/,508532,United States of America
edd4031749238e628b3eb29cd37566dc,Cession 699,https://native-land.ca/maps/treaties/cession-699/,cession-699,#922200,Cession 699,https://native-land.ca/maps/treaties/cession-699/,33983,United States of America
ee32343e18e7137849e08ed39d673db4,Cession 162,https://native-land.ca/maps/treaties/cession-162/,cession-162,#321133,Cession 162,https://native-land.ca/maps/treaties/cession-162/,84,United States of America
ee5ae09481da6e6748a745930ba4ca88,Cession 658a,https://native-land.ca/maps/treaties/cession-658a/,cession-658a,#2300AA,Cession 658a,https://native-land.ca/maps/treaties/cession-658a/,1264,United States of America
eec4569c5f5566f7d9523b7033d27b8d,Cession 1,https://native-land.ca/maps/treaties/cession-1/,cession-1,#0911AA,Cession 1,https://native-land.ca/maps/treaties/cession-1/,36341,United States of America
ef94f74c6dbb4185e7bd8ef19b682d95,Cession 683,https://native-land.ca/maps/treaties/cession-683/,cession-683,#4C2266,Cession 683,https://native-land.ca/maps/treaties/cession-683/,12962,United States of America
efa839e94d5f325a68ec33bff397aa34,Cession 192,https://native-land.ca/maps/treaties/cession-192/,cession-192,#4B2277,Cession 192,https://native-land.ca/maps/treaties/cession-192/,91,United States of America
f0104c59e251a33c95d21776757fe098,Cession 127,https://native-land.ca/maps/treaties/cession-127/,cession-127,#8A0033,Cession 127,https://native-land.ca/maps/treaties/cession-127/,16360,United States of America
f07113864e0a2ed4eda115bd2104af61,Cession 651,https://native-land.ca/maps/treaties/cession-651/,cession-651,#532211,Cession 651,https://native-land.ca/maps/treaties/cession-651/,1611,United States of America
f12a25f658636c8ac116127cfc00b594,Cession 574,https://native-land.ca/maps/treaties/cession-574/,cession-574,#411177,Cession 574,https://native-land.ca/maps/treaties/cession-574/,16770,United States of America
f1cec69f73a5e8b7c695100b5d2e5d68,Cession 354,https://native-land.ca/maps/treaties/cession-354/,cession-354,#5900BB,Cession 354,https://native-land.ca/maps/treaties/cession-354/,8,United States of America
f2503ba033625bd222db1ee3b7a09afc,Cession 624,https://native-land.ca/maps/treaties/cession-624/,cession-624,#3811AA,Cession 624,https://native-land.ca/maps/treaties/cession-624/,1263,United States of America
f2c17cf9d8129a48412086a5d3dbd34d,Cession 241,https://native-land.ca/maps/treaties/cession-241/,cession-241,#2C2299,Cession 241,https://native-land.ca/maps/treaties/cession-241/,28,United States of America
f4a0d83973c0df5da805f2d8f92bf49b,Cession 634,https://native-land.ca/maps/treaties/cession-634/,cession-634,#0B1122,Cession 634,https://native-land.ca/maps/treaties/cession-634/,379,United States of America
f4e57b81f5332c888fc7d7dd3c948658,Cession 509,https://native-land.ca/maps/treaties/cession-509/,cession-509,#181177,Cession 509,https://native-land.ca/maps/treaties/cession-509/,3144,United States of America
f568e4cd8089c7c1da163a3ae119e5dd,Cession 22,https://native-land.ca/maps/treaties/cession-22/,cession-22,#5C0011,Cession 22,https://native-land.ca/maps/treaties/cession-22/,25,United States of America
f5736bae23b55f00c6e0a70148900afe,Cession 37,https://native-land.ca/maps/treaties/cession-37/,cession-37,#EF11EE,Cession 37,https://native-land.ca/maps/treaties/cession-37/,13,United States of America
f5b4451852be55d7abb7f9484479407d,Cession 264,https://native-land.ca/maps/treaties/cession-264/,cession-264,#A91122,Cession 264,https://native-land.ca/maps/treaties/cession-264/,22638,United States of America
f6aad33826567d44caa4679df00ad9af,Cession 228,https://native-land.ca/maps/treaties/cession-228/,cession-228,#5C2222,Cession 228,https://native-land.ca/maps/treaties/cession-228/,23,United States of America
f6b0a26b0f31b8cc4e392fcaed83a21c,Cession 62,https://native-land.ca/maps/treaties/cession-62/,cession-62,#7F00EE,Cession 62,https://native-land.ca/maps/treaties/cession-62/,29,United States of America
f6dbe03edaa7419db6d70a769fa5bfea,Cession 350,https://native-land.ca/maps/treaties/cession-350/,cession-350,#301199,Cession 350,https://native-land.ca/maps/treaties/cession-350/,17,United States of America
f768ec59b76567470a886d6cffc13e69,Cession 589,https://native-land.ca/maps/treaties/cession-589/,cession-589,#6F1166,Cession 589,https://native-land.ca/maps/treaties/cession-589/,1885,United States of America
f79aeec9b8f5e9fd930545c531ef2357,Cession 74,https://native-land.ca/maps/treaties/cession-74/,cession-74,#840022,Cession 74,https://native-land.ca/maps/treaties/cession-74/,378,United States of America
f7f23b37384da2f7eaf96559fd16bdf4,Cession 152,https://native-land.ca/maps/treaties/cession-152/,cession-152,#D50099,Cession 152,https://native-land.ca/maps/treaties/cession-152/,8586,United States of America
f84deee4af5cc0f486f7f9f820df18e2,Cession 397,https://native-land.ca/maps/treaties/cession-397/,cession-397,#A80066,Cession 397,https://native-land.ca/maps/treaties/cession-397/,4182,United States of America
f877713aaa862df639380c94c456321a,Cession 526,https://native-land.ca/maps/treaties/cession-526/,cession-526,#520088,Cession 526,https://native-land.ca/maps/treaties/cession-526/,317,United States of America
f95e36efc3e6358fb3f8f4e3e30b17ed,Cession 124,https://native-land.ca/maps/treaties/cession-124/,cession-124,#8622DD,Cession 124,https://native-land.ca/maps/treaties/cession-124/,90365,United States of America
fa9398937707a21e42dc00d911b009c2,Cession 222,https://native-land.ca/maps/treaties/cession-222/,cession-222,#6C22AA,Cession 222,https://native-land.ca/maps/treaties/cession-222/,17,United States of America
faa77e19193c7dd69235f58603588528,Cession 174,https://native-land.ca/maps/treaties/cession-174/,cession-174,#212266,Cession 174,https://native-land.ca/maps/treaties/cession-174/,9355,United States of America
fb2c388080aeccc15f9ee5f077fcfff4,Cession 533,https://native-land.ca/maps/treaties/cession-533/,cession-533,#160033,Cession 533,https://native-land.ca/maps/treaties/cession-533/,9098,United States of America
fb38ee8edf39f15f1ad88e599a638355,Cession 596,https://native-land.ca/maps/treaties/cession-596/,cession-596,#5422CC,Cession 596,https://native-land.ca/maps/treaties/cession-596/,30,United States of America
fb3d4a36753423ebc3615b85b16dc7a6,Cession 462,https://native-land.ca/maps/treaties/cession-462/,cession-462,#D900DD,Cession 462,https://native-land.ca/maps/treaties/cession-462/,58403,United States of America
fb887796d536e5290e30f5d5731f5ed1,Cession 232,https://native-land.ca/maps/treaties/cession-232/,cession-232,#4B00AA,Cession 232,https://native-land.ca/maps/treaties/cession-232/,22,United States of America
fb9630a071b4801d9d79b51a8f09d34e,Cession 46,https://native-land.ca/maps/treaties/cession-46/,cession-46,#4B00EE,Cession 46,https://native-land.ca/maps/treaties/cession-46/,3807,United States of America
fbad084084004bbb9a66edd492a1eaef,Cession 614,https://native-land.ca/maps/treaties/cession-614/,cession-614,#C31122,Cession 614,https://native-land.ca/maps/treaties/cession-614/,26764,United States of America
fcbfbe0e6527688332bcfbcd87dded88,Cession 328,https://native-land.ca/maps/treaties/cession-328/,cession-328,#4100AA,Cession 328,https://native-land.ca/maps/treaties/cession-328/,13,United States of America
fd335f666ff93c2cd3146ea9914f8f6f,Cession 293,https://native-land.ca/maps/treaties/cession-293/,cession-293,#A711AA,Cession 293,https://native-land.ca/maps/treaties/cession-293/,4085,United States of America
fdf021cee0065e3396ba60a0327cb9ce,Cession 618,https://native-land.ca/maps/treaties/cession-618/,cession-618,#DE11FF,Cession 618,https://native-land.ca/maps/treaties/cession-618/,4467,United States of America
fdf90fd232bce01c0b2728dce9c00432,Cession 705,https://native-land.ca/maps/treaties/cession-705/,cession-705,#191100,Cession 705,https://native-land.ca/maps/treaties/cession-705/,1325,United States of America
fe6721c6c139557fbb20e8961b785ecb,Cession 105,https://native-land.ca/maps/treaties/cession-105/,cession-105,#8F1188,Cession 105,https://native-land.ca/maps/treaties/cession-105/,3,United States of America
febea171e6352413684d1213546ea937,Cession 54,https://native-land.ca/maps/treaties/cession-54/,cession-54,#7F1100,Cession 54,https://native-land.ca/maps/treaties/cession-54/,5132,United States of America
fef4f1ef8114d806ea41e2b8c2f68ddd,Cession 387,https://native-land.ca/maps/treaties/cession-387/,cession-387,#7F2255,Cession 387,https://native-land.ca/maps/treaties/cession-387/,63,United States of America
fef56c13909cf48a10a4ec06cdddf74d,Cession 635,https://native-land.ca/maps/treaties/cession-635/,cession-635,#D600CC,Cession 635,https://native-land.ca/maps/treaties/cession-635/,20877,United States of America
ff90470ff149620ba318a62a5ca384ae,Cession 547,https://native-land.ca/maps/treaties/cession-547/,cession-547,#BE00CC,Cession 547,https://native-land.ca/maps/treaties/cession-547/,216,United States of America
6b709818fa7716140379925063b727e1,Cession 348,https://native-land.ca/maps/treaties/cession-348/,cession-348,#2511FF,Cession 348,https://native-land.ca/maps/treaties/cession-348/,7,United States of America
ff0f8a1902bbe4f1df7bd5c2025fdec1,Cession 465,https://native-land.ca/maps/treaties/cession-465/,cession-465,#B61188,Cession 465,https://native-land.ca/maps/treaties/cession-465/,7,United States of America
9e952064e1d0dfbafc80a405609af05a,Cession 356,https://native-land.ca/maps/treaties/cession-356/,cession-356,#6F2233,Cession 356,https://native-land.ca/maps/treaties/cession-356/,27,Canada
362ba0adef736d64791e25ce4b1b66af,Tsawwassen First Nation Final Agreement,https://native-land.ca/maps/treaties/tsawwassen/,tsawwassen,#F90022,Tsawwassen First Nation Final Agreement,https://native-land.ca/maps/treaties/tsawwassen/,7,Canada
a92df5e854b98a448b55b8ccf99cbc0e,Cession 465,https://native-land.ca/maps/treaties/cession-465-2/,cession-465,#E22200,Cession 465,https://native-land.ca/maps/treaties/cession-465-2/,10,United States of America
5424609e8d4008122f913a57308f1d0a,"Robinson-Superior (Treaty 60, 1850)",https://native-land.ca/maps/treaties/robinson-superior-treaty-60-1850/,robinsonSuperior,#F22200,"Robinson-Superior (Treaty 60, 1850)",http://www.aadnc-aandc.gc.ca/fra/1370373165583/1370373202340,,Canada
d0b702c3f8cb75e07929c42f8b2f04b6,Cession 519,https://native-land.ca/maps/treaties/cession-519/,cession-519,#DB22DD,Cession 519,https://native-land.ca/maps/treaties/cession-519/,,United States of America
